Model,Reference,BA_overall_mean,BA_overall_CI,BA_male_mean,BA_female_mean,Sex_gap_mean,F1_overall_mean
Logistic Reg.,GRCh38,0.9780,"[0.9743, 0.9817]",0.9762,0.9796,-0.0034,0.9791
Logistic Reg.,T2T-CHM13,0.9762,"[0.9721, 0.9798]",0.9747,0.9774,-0.0027,0.9773
Logistic Reg.,ΔΔ,—,—,—,—,"-0.0007 [-0.0056, 0.0041]",—
Random Forest,GRCh38,0.9429,"[0.9384, 0.9475]",0.9446,0.9415,0.0031,0.9456
Random Forest,T2T-CHM13,0.9341,"[0.9293, 0.9387]",0.9311,0.9361,-0.0050,0.9372
Random Forest,ΔΔ,—,—,—,—,"0.0081 [-0.0007, 0.0174]",—
XGBoost,GRCh38,0.9686,"[0.9654, 0.9721]",0.9683,0.9690,-0.0007,0.9709
XGBoost,T2T-CHM13,0.9628,"[0.9586, 0.9669]",0.9628,0.9623,0.0006,0.9649
XGBoost,ΔΔ,—,—,—,—,"-0.0013 [-0.0093, 0.0073]",—
SVM,GRCh38,0.9720,"[0.9686, 0.9754]",0.9719,0.9719,0.0000,0.9738
SVM,T2T-CHM13,0.9708,"[0.9666, 0.9748]",0.9686,0.9723,-0.0037,0.9725
SVM,ΔΔ,—,—,—,—,"0.0038 [-0.0013, 0.0086]",—
MLP,GRCh38,0.9722,"[0.9689, 0.9753]",0.9730,0.9716,0.0014,0.9728
MLP,T2T-CHM13,0.9721,"[0.9684, 0.9755]",0.9740,0.9702,0.0038,0.9728
MLP,ΔΔ,—,—,—,—,"-0.0024 [-0.0100, 0.0050]",—
